Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Target
1,0,20,0,0.0,0.0,Dropout
1,0,19,0,14.0,13.666666666666700,Graduate
1,0,19,0,0.0,0.0,Dropout
0,0,20,0,13.428571428571400,12.4,Graduate
0,0,45,0,12.333333333333300,13.0,Graduate
1,0,50,0,11.857142857142900,11.5,Graduate
0,1,18,0,13.3,14.345,Graduate
1,0,22,0,0.0,0.0,Dropout
0,1,21,1,13.875,14.142857142857100,Graduate
0,0,18,0,11.4,13.5,Dropout
0,0,18,0,12.333333333333300,14.2,Graduate
0,1,18,0,13.214285714285700,13.214285714285700,Graduate
0,0,19,0,0.0,0.0,Dropout
0,1,21,0,10.571428571428600,11.0,Graduate
0,1,18,0,13.25,12.0,Graduate
0,0,20,0,13.2,0.0,Dropout
0,0,18,0,12.0,11.0,Enrolled
0,0,18,0,13.30625,14.545,Graduate
0,0,20,0,12.5,12.25,Graduate
0,0,18,0,11.666666666666700,13.5,Enrolled
0,1,21,0,0.0,0.0,Graduate
0,0,20,0,11.4375,11.425,Enrolled
0,0,18,0,12.857142857142900,12.857142857142900,Graduate
0,1,19,0,13.375,12.285714285714300,Graduate
0,0,19,0,13.296666666666700,14.114285714285700,Graduate
0,1,18,0,11.6,11.0,Enrolled
0,0,21,0,11.375,13.285714285714300,Graduate
0,0,18,0,12.666666666666700,13.0,Enrolled
0,0,20,0,12.0,12.333333333333300,Graduate
1,0,19,0,12.933333333333300,13.716666666666700,Enrolled
1,0,21,0,11.857142857142900,10.571428571428600,Enrolled
1,0,20,0,12.833333333333300,13.4,Graduate
1,0,18,0,11.333333333333300,13.5,Enrolled
0,0,19,0,12.666666666666700,14.375,Graduate
1,0,34,0,12.4,13.428571428571400,Graduate
1,0,37,0,0.0,10.0,Dropout
1,0,43,0,0.0,0.0,Dropout
0,0,55,0,10.0,12.0,Dropout
0,0,39,0,11.0,11.6,Graduate
0,0,20,1,11.666666666666700,12.0,Dropout
0,0,18,0,12.75,0.0,Dropout
0,0,22,0,14.8,15.8,Graduate
0,0,22,0,13.928,14.342857142857100,Graduate
0,0,20,0,13.0,13.8,Dropout
0,0,29,0,0.0,0.0,Dropout
0,0,24,0,11.5,14.333333333333300,Enrolled
0,0,18,0,11.666666666666700,13.2,Graduate
0,1,22,0,13.516666666666700,13.771428571428600,Graduate
0,1,21,0,11.5,13.285714285714300,Graduate
0,1,19,0,12.333333333333300,12.833333333333300,Graduate
0,1,24,0,13.666666666666700,14.166666666666700,Graduate
0,1,19,0,11.833333333333300,11.833333333333300,Enrolled
0,1,20,0,14.0,11.0,Enrolled
0,0,19,0,14.714285714285700,15.8,Graduate
0,0,27,0,10.6,11.0,Dropout
0,0,18,0,13.044444444444400,13.595,Graduate
0,0,39,0,0.0,0.0,Dropout
0,0,27,0,13.0,12.9,Dropout
0,0,18,0,14.935,14.935,Graduate
0,0,18,0,0.0,0.0,Enrolled
