State,Adoptions,Population(2014),Adoptions.per.100000
Alabama,548,4849377,11.30042065
Alaska,367,736732,49.81458658
Arizona,3090,6731484,45.90369672
Arkansas,743,2966369,25.04745701
California,5471,38802500,14.09960698
Colorado,769,5355866,14.35808887
Connecticut,502,3596677,13.95732783
Delaware,84,935614,8.978061466
District of Columbia,107,658893,16.23935905
Florida,3265,19893297,16.41256349
Georgia,887,10097343,8.784489147
Hawaii,121,1419561,8.523761924
Idaho,218,1634464,13.33770582
Illinois,1648,12880580,12.79445491
Indiana,850,6596855,12.88492774
Iowa,878,3107126,28.25762457
Kansas,695,2904021,23.93233382
Kentucky,909,4413457,20.59609961
Louisiana,622,4649676,13.37727618
Maine,295,1330089,22.17896697
Maryland,340,5976407,5.689036908
Massachusetts,589,6745408,8.731866182
Michigan,2137,9909877,21.56434434
Minnesota,642,5457173,11.76433293
Mississippi,314,2994079,10.48736523
Missouri,1291,6063589,21.29102088
Montana,234,1023579,22.86096139
Nebraska,461,1881503,24.50168828
Nevada,729,2839099,25.67716025
New Hampshire,120,1326813,9.044228539
New Jersey,1021,8938175,11.42291351
New Mexico,315,2085572,15.10377009
New York,1997,19746227,10.11332443
North Carolina,1164,9943964,11.70559346
North Dakota,96,739482,12.98206042
Ohio,1404,11594163,12.10954167
Oklahoma,1382,3878051,35.63645759
Oregon,847,3970239,21.33372827
Pennsylvania,1849,12787209,14.4597621
Rhode Island,202,1055173,19.14378021
South Carolina,449,4832482,9.291291721
South Dakota,159,853175,18.6362704
Tennessee,1161,6549352,17.72694459
Texas,5221,26956958,19.36791236
Utah,605,2942902,20.55793907
Vermont,161,626562,25.6957811
Virginia,632,8326289,7.590416331
Washington,1362,7061530,19.28760481
West Virginia,852,1850326,46.04594001
Wisconsin,735,5757564,12.76581554
Wyoming,75,584153,12.83910209
