Date,Close
1/1/18,72.54
2/1/18,75.62
3/1/18,72.37
4/1/18,78.31
5/1/18,81.48
6/1/18,84.99
7/1/18,88.87
8/1/18,100.64
9/1/18,100.15
10/1/18,79.9
11/1/18,84.51
12/1/18,75.1
1/1/19,85.94
2/1/19,81.99
3/1/19,89.04
4/1/19,96.33
5/1/19,88.75
6/1/19,94.68
7/1/19,93.34
8/1/19,88.81
9/1/19,86.8
10/1/19,88.83
11/1/19,90.04
12/1/19,92.39
1/1/20,100.44
2/1/20,94.19
3/1/20,97.49
4/1/20,123.7
5/1/20,122.12
6/1/20,137.94
7/1/20,158.23
8/1/20,172.55
9/1/20,157.44
10/1/20,151.81
11/1/20,158.4
12/1/20,162.85
1/1/21,160.31
2/1/21,154.65
3/1/21,154.7
4/1/21,173.37
5/1/21,161.15
6/1/21,172.01
7/1/21,166.38
8/1/21,173.54
9/1/21,164.25
10/1/21,168.62
11/1/21,175.35
12/1/21,166.72
1/1/22,149.57
2/1/22,153.56
3/1/22,163
4/1/22,124.28
5/1/22,120.21
6/1/22,106.21
7/1/22,134.95
8/1/22,126.77
9/1/22,113
10/1/22,102.44
11/1/22,96.54
12/1/22,84
1/1/23,103.13
2/1/23,94.23
3/1/23,103.29
4/1/23,105.45
5/1/23,120.58
6/1/23,130.36
7/1/23,133.68
8/1/23,138.01
9/1/23,137.27
