Date,Close
1/1/18,194.87
2/1/18,190.9
3/1/18,188.43
4/1/18,197.16
5/1/18,198.24
6/1/18,208.98
7/1/18,218.71
8/1/18,233.13
9/1/18,234.88
10/1/18,228.63
11/1/18,231.28
12/1/18,203.71
1/1/19,214.63
2/1/19,218.74
3/1/19,242.14
4/1/19,245.53
5/1/19,239.58
6/1/19,264.26
7/1/19,275.63
8/1/19,294.76
9/1/19,288.11
10/1/19,297.11
11/1/19,299.81
12/1/19,293.92
1/1/20,305.52
2/1/20,281.14
3/1/20,285.13
4/1/20,303
5/1/20,308.47
6/1/20,303.21
7/1/20,325.53
8/1/20,347.66
9/1/20,355
10/1/20,357.62
11/1/20,391.77
12/1/20,376.78
1/1/21,352.43
2/1/21,331
3/1/21,352.48
4/1/21,372.09
5/1/21,378.27
6/1/21,395.67
7/1/21,429.72
8/1/21,455.49
9/1/21,449.35
10/1/21,491.54
11/1/21,539.38
12/1/21,567.7
1/1/22,505.13
2/1/22,519.25
3/1/22,575.85
4/1/22,531.72
5/1/22,466.22
6/1/22,479.28
7/1/22,541.3
8/1/22,522.1
9/1/22,472.27
10/1/22,501.5
11/1/22,539.25
12/1/22,456.5
1/1/23,511.14
2/1/23,484.18
3/1/23,496.87
4/1/23,503.22
5/1/23,511.56
6/1/23,538.38
7/1/23,560.67
8/1/23,549.28
9/1/23,544.73
