Date,Close
1/1/18,75.22
2/1/18,75.41
3/1/18,69.43
4/1/18,72.6
5/1/18,72.89
6/1/18,76.12
7/1/18,80.68
8/1/18,87.5
9/1/18,88.21
10/1/18,83.63
11/1/18,70.96
12/1/18,66.09
1/1/19,73
2/1/19,72.64
3/1/19,80.26
4/1/19,77.42
5/1/19,80.45
6/1/19,86.61
7/1/19,86.4
8/1/19,107.04
9/1/19,106.91
10/1/19,106.91
11/1/19,125.01
12/1/19,128.21
1/1/20,110.74
2/1/20,103
3/1/20,92.97
4/1/20,109.74
5/1/20,122.33
6/1/20,119.93
7/1/20,125.88
8/1/20,151.21
9/1/20,157.42
10/1/20,152.22
11/1/20,179.53
12/1/20,176.53
1/1/21,181.17
2/1/21,183.44
3/1/21,198.07
4/1/21,207.26
5/1/21,226.92
6/1/21,241.74
7/1/21,261.05
8/1/21,246.98
9/1/21,228.77
10/1/21,259.62
11/1/21,243.84
12/1/21,231.44
1/1/22,220.43
2/1/22,199.77
3/1/22,212.22
4/1/22,228.65
5/1/22,161.88
6/1/22,141.23
7/1/22,163.38
8/1/22,160.34
9/1/22,148.39
10/1/22,164.25
11/1/22,167.07
12/1/22,149.04
1/1/23,172.14
2/1/23,168.5
3/1/23,165.63
4/1/23,157.75
5/1/23,130.93
6/1/23,131.9
7/1/23,136.47
8/1/23,126.55
9/1/23,125.19
