District code,District name,Category,Student group,2021-2022 student count - year to date,2021-2022 attendance rate - year to date,2020-2021 student count,2020-2021 attendance rate,2019-2020 student count,2019-2020 attendance rate,Reporting period,Date update
00000CT,Connecticut,,All Students,500285,0.9169,496092,0.9294,508346,0.9479,June 2022,07/22/2022
00000CT,Connecticut,Homelessness,Students Experiencing Homelessness,1814,0.8348,1735,0.8155,3916,0.8884,June 2022,07/22/2022
00000CT,Connecticut,Students With Disabilities,Students With Disabilities,78417,0.8899,76487,0.8946,80365,0.9277,June 2022,07/22/2022
00000CT,Connecticut,Free/Reduced Lunch,Free Meal Eligible,168984,0.8851,176225,0.8861,193706,0.9314,June 2022,07/22/2022
00000CT,Connecticut,Free/Reduced Lunch,Reduced Price Meal Eligible,29905,0.9184,30886,0.9299,27507,0.9518,June 2022,07/22/2022
00000CT,Connecticut,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,198889,0.8901,207111,0.8927,221213,0.934,June 2022,07/22/2022
00000CT,Connecticut,English Learners,English Learners,43571,0.8976,40619,0.8948,45413,0.9389,June 2022,07/22/2022
00000CT,Connecticut,Race/Ethnicity,All other races,48700,0.9314,47339,0.9483,47260,0.9559,June 2022,07/22/2022
00000CT,Connecticut,Race/Ethnicity,Black or African American,63099,0.8941,62267,0.8931,64200,0.9401,June 2022,07/22/2022
00000CT,Connecticut,Race/Ethnicity,Hispanic/Latino of any race,146298,0.8935,138260,0.8975,136953,0.9362,June 2022,07/22/2022
00000CT,Connecticut,Race/Ethnicity,White,242188,0.9338,248226,0.9523,259933,0.9543,June 2022,07/22/2022
00000CT,Connecticut,High Needs,Students Without High Needs,241106,0.9398,236395,0.9616,241610,0.9606,June 2022,07/22/2022
00000CT,Connecticut,High Needs,Students With High Needs,248239,0.8954,251220,0.8996,266736,0.9361,June 2022,07/22/2022
